username,user_id,full_name,biography,private,verified,is_business_account,business_category_name,category_name,posts_count,followers,following,profile_pic_url,external_url,has_highlight_reels,last_post_likes,last_post_comments,last_post_url,last_post_timestamp,igtv_count
shiko_3232,49418977312,Roman Sh,,True,False,False,,,0,1,8,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-19/430253250_755720329561236_2403371585923590783_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=100&_nc_ohc=bphv0uQRT20Q7kNvgF0rdKp&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AYBKbmsKncx3VQKEcRikN7yj5ivlIWrPkE3ger5SQa-bCQ&oe=66A6F8B4&_nc_sid=8b3546,,True,,,,,0
fantasticcritter,44517231308,Eram Nowshin,"""Until one has loved an animal, a part of one's soul remains unawakened."" ― Anatole France 🦥",False,False,False,,,31,72,40,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-19/142398088_639212146808992_8759700162213519284_n.jpg?stp=dst-jpg_s320x320&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_ohc=hQ0EiAYpjR0Q7kNvgHtd_N8&gid=3d318b0fc2bd470ebc619c9000b15176&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AYAKMxn0B9kaxnWFJsbPSe4ReHLxLrtaMB1b5i_zSM9fPg&oe=66A72769&_nc_sid=8b3546,,True,26,0,https://scontent-lhr6-2.cdninstagram.com/v/t51.29350-15/171243743_876965719827940_5714486917829102698_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_ohc=N7U3JLwR_9oQ7kNvgFWj2ne&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjU0OTE5NTAwNTA0MTI3NjQyNg%3D%3D.2-ccb7-5&oh=00_AYCYCQ3Sk9SzwmPylRUaWASK5AAj_69eau8Dz3P79eK2Mw&oe=66A70E42&_nc_sid=8b3546,1618096947,0
